Name,Quarters,File_Changed,Insertions,Deletions
A. Unique TensorFlower,2021-Q4,0,0,0
A. Unique TensorFlower,2021-Q3,0,0,0
A. Unique TensorFlower,2021-Q2,1107,24570,21418
A. Unique TensorFlower,2021-Q1,3035,54692,34926
A. Unique TensorFlower,2020-Q4,2679,62249,39214
A. Unique TensorFlower,2020-Q3,3818,93483,71821
A. Unique TensorFlower,2020-Q2,5184,200410,50256
A. Unique TensorFlower,2020-Q1,4813,107100,61891
A. Unique TensorFlower,2019-Q4,3471,120328,68201
A. Unique TensorFlower,2019-Q3,5639,570257,487854
A. Unique TensorFlower,2019-Q2,4750,3563824,3513576
A. Unique TensorFlower,2019-Q1,4544,307678,110702
A. Unique TensorFlower,2018-Q4,4619,162192,77118
A. Unique TensorFlower,2018-Q3,5540,173703,68318
A. Unique TensorFlower,2018-Q2,6026,195958,101799
A. Unique TensorFlower,2018-Q1,5482,290367,178443
Jiri Simsa,2021-Q4,0,0,0
Jiri Simsa,2021-Q3,0,0,0
Jiri Simsa,2021-Q2,469,9030,10475
Jiri Simsa,2021-Q1,383,5402,7636
Jiri Simsa,2020-Q4,33,498,249
Jiri Simsa,2020-Q3,77,1693,1423
Jiri Simsa,2020-Q2,242,5730,3461
Jiri Simsa,2020-Q1,290,2533,1427
Jiri Simsa,2019-Q4,237,4798,3922
Jiri Simsa,2019-Q3,705,9282,7048
Jiri Simsa,2019-Q2,554,7490,9415
Jiri Simsa,2019-Q1,356,5135,3718
Jiri Simsa,2018-Q4,658,15284,12745
Jiri Simsa,2018-Q3,505,12481,6380
Jiri Simsa,2018-Q2,417,19484,5318
Jiri Simsa,2018-Q1,6,69,25
Chao Mei,2021-Q4,0,0,0
Chao Mei,2021-Q3,0,0,0
Chao Mei,2021-Q2,45,509,237
Chao Mei,2021-Q1,46,786,206
Chao Mei,2020-Q4,41,407,339
Chao Mei,2020-Q3,142,1796,3544
Chao Mei,2020-Q2,238,4124,2029
Chao Mei,2020-Q1,140,3259,1477
Chao Mei,2019-Q4,83,1365,501
Chao Mei,2019-Q3,87,1521,752
Chao Mei,2019-Q2,7,55,21
Chao Mei,2019-Q1,0,0,0
Isha Arkatkar,2021-Q4,0,0,0
Isha Arkatkar,2021-Q3,0,0,0
Isha Arkatkar,2021-Q2,7,163,12
Isha Arkatkar,2021-Q1,52,2365,572
Shivani Agrawal,2021-Q4,0,0,0
Shivani Agrawal,2021-Q3,0,0,0
Shivani Agrawal,2021-Q2,3,82,2
Shivani Agrawal,2021-Q1,2,2,0
Shivani Agrawal,2019-Q4,0,0,0
Shivani Agrawal,2019-Q3,4,392,275
Shivani Agrawal,2019-Q2,0,0,0
Shivani Agrawal,2019-Q1,119,2644,934
Shivani Agrawal,2018-Q4,204,6980,7304
Shivani Agrawal,2018-Q3,95,2986,660
Shivani Agrawal,2018-Q2,38,952,355
Shivani Agrawal,2018-Q1,34,672,883
HanBin Yoon,2021-Q4,0,0,0
HanBin Yoon,2021-Q3,0,0,0
HanBin Yoon,2021-Q2,10,438,22
HanBin Yoon,2021-Q1,1,0,2
HanBin Yoon,2020-Q4,0,0,0
HanBin Yoon,2020-Q3,18,290,12
HanBin Yoon,2020-Q2,0,0,0
HanBin Yoon,2020-Q1,0,0,0
Robert David,2021-Q4,0,0,0
Robert David,2021-Q3,0,0,0
Robert David,2021-Q2,14,166,10
Robert David,2021-Q1,53,908,379
Robert David,2020-Q4,24,144,147
Robert David,2020-Q3,268,5326,3715
Robert David,2020-Q2,281,4548,4592
Robert David,2020-Q1,165,2415,2705
Robert David,2019-Q4,198,2430,3308
Robert David,2019-Q3,9,22,116
Robert David,2019-Q2,0,0,0
Robert David,2019-Q1,0,0,0
Meghna Natraj,2021-Q4,0,0,0
Meghna Natraj,2021-Q3,0,0,0
Meghna Natraj,2021-Q2,23,355,650
Meghna Natraj,2021-Q1,29,341,329
Meghna Natraj,2020-Q4,88,3186,2682
Meghna Natraj,2020-Q3,89,3385,2653
Meghna Natraj,2020-Q2,73,10031,4431
Meghna Natraj,2020-Q1,52,1350,514
Meghna Natraj,2019-Q4,3,399,361
Meghna Natraj,2019-Q3,0,0,0
Meghna Natraj,2019-Q2,0,0,0
Meghna Natraj,2019-Q1,0,0,0
Geoffrey Martin-Noble,2021-Q4,0,0,0
Geoffrey Martin-Noble,2021-Q3,0,0,0
Geoffrey Martin-Noble,2021-Q2,24,147,39
Geoffrey Martin-Noble,2021-Q1,43,1838,927
Geoffrey Martin-Noble,2020-Q4,11,32,67
Geoffrey Martin-Noble,2020-Q3,7,46,43
Geoffrey Martin-Noble,2020-Q2,38,2314,2357
Geoffrey Martin-Noble,2020-Q1,2,3,4
Geoffrey Martin-Noble,2019-Q4,32,500,280
Geoffrey Martin-Noble,2019-Q3,18,417,156
Geoffrey Martin-Noble,2019-Q2,168,1576,810
Geoffrey Martin-Noble,2019-Q1,1,4,0
Xiao Yu,2021-Q4,0,0,0
Xiao Yu,2021-Q3,0,0,0
Xiao Yu,2021-Q2,17,28,46
Xiao Yu,2021-Q1,83,1171,625
Xiao Yu,2020-Q4,26,112,73
Xiao Yu,2020-Q3,41,492,493
Xiao Yu,2020-Q2,39,510,249
Xiao Yu,2020-Q1,0,0,0
Xiao Yu,2019-Q4,48,880,427
Xiao Yu,2019-Q3,249,4002,1889
Xiao Yu,2019-Q2,284,4572,2075
Xiao Yu,2019-Q1,12,167,24
Tomer Kaftan,2021-Q4,0,0,0
Tomer Kaftan,2021-Q3,0,0,0
Tomer Kaftan,2021-Q2,17,103,916
Tomer Kaftan,2021-Q1,30,479,452
Tomer Kaftan,2020-Q4,72,2756,728
Tomer Kaftan,2020-Q3,219,9289,7069
Tomer Kaftan,2020-Q2,144,5156,2617
Tomer Kaftan,2020-Q1,0,0,0
Li Lao,2021-Q4,0,0,0
Li Lao,2021-Q3,0,0,0
Li Lao,2021-Q2,2,0,37
Li Lao,2021-Q1,0,0,0
Li Lao,2020-Q4,0,0,0
Li Lao,2020-Q3,0,0,0
Li Lao,2020-Q2,4,36,6
Li Lao,2020-Q1,1,2,2
Yash Katariya,2021-Q4,0,0,0
Yash Katariya,2021-Q3,0,0,0
Yash Katariya,2021-Q2,28,1242,1078
Yash Katariya,2021-Q1,2,43,0
Yash Katariya,2020-Q4,8,192,48
Yash Katariya,2020-Q3,24,1445,573
Yash Katariya,2020-Q2,17,758,335
Yash Katariya,2020-Q1,57,723,2171
Yash Katariya,2019-Q4,21,819,682
Yash Katariya,2019-Q3,48,786,587
Yash Katariya,2019-Q2,11,20,9
Yash Katariya,2019-Q1,2,3,763
Yash Katariya,2018-Q4,0,0,0
Yash Katariya,2018-Q3,28,2105,716
Yash Katariya,2018-Q2,15,2232,56
Yash Katariya,2018-Q1,0,0,0
George Karpenkov,2021-Q4,0,0,0
George Karpenkov,2021-Q3,0,0,0
George Karpenkov,2021-Q2,95,1813,3532
George Karpenkov,2021-Q1,178,1751,681
George Karpenkov,2020-Q4,238,3292,1359
George Karpenkov,2020-Q3,345,5687,4191
George Karpenkov,2020-Q2,180,3485,1741
George Karpenkov,2020-Q1,292,4396,3781
George Karpenkov,2019-Q4,280,4745,2618
George Karpenkov,2019-Q3,363,6774,5586
George Karpenkov,2019-Q2,395,7135,5070
George Karpenkov,2019-Q1,33,901,373
Alexander Belyaev,2021-Q4,0,0,0
Alexander Belyaev,2021-Q3,0,0,0
Alexander Belyaev,2021-Q2,12,28,23
Alexander Belyaev,2021-Q1,301,3895,2307
Alexander Belyaev,2020-Q4,342,2650,3117
Alexander Belyaev,2020-Q3,146,5125,1639
Alexander Belyaev,2020-Q2,73,2416,2259
Alexander Belyaev,2020-Q1,95,2283,996
Alexander Belyaev,2019-Q4,171,4342,1881
Alexander Belyaev,2019-Q3,75,1841,658
Alexander Belyaev,2019-Q2,0,0,0
Alexander Belyaev,2019-Q1,0,0,0
Peter Hawkins,2021-Q4,0,0,0
Peter Hawkins,2021-Q3,0,0,0
Peter Hawkins,2021-Q2,129,9706,1233
Peter Hawkins,2021-Q1,339,4783,3118
Peter Hawkins,2020-Q4,117,3605,3087
Peter Hawkins,2020-Q3,71,2555,984
Peter Hawkins,2020-Q2,229,7420,7140
Peter Hawkins,2020-Q1,260,7532,2829
Peter Hawkins,2019-Q4,118,3443,4056
Peter Hawkins,2019-Q3,109,1865,1199
Peter Hawkins,2019-Q2,192,4296,2021
Peter Hawkins,2019-Q1,381,12080,9162
Peter Hawkins,2018-Q4,1131,9609,8841
Peter Hawkins,2018-Q3,193,5136,1959
Peter Hawkins,2018-Q2,737,19985,14844
Peter Hawkins,2018-Q1,109,4066,1259
Saurabh Saxena,2021-Q4,0,0,0
Saurabh Saxena,2021-Q3,0,0,0
Saurabh Saxena,2021-Q2,25,490,66
Saurabh Saxena,2021-Q1,0,0,0
Saurabh Saxena,2020-Q4,64,2222,1327
Saurabh Saxena,2020-Q3,205,6256,1104
Saurabh Saxena,2020-Q2,78,2454,1237
Saurabh Saxena,2020-Q1,75,3842,445
Saurabh Saxena,2019-Q4,39,1022,186
Saurabh Saxena,2019-Q3,142,2482,379
Saurabh Saxena,2019-Q2,63,1650,1030
Saurabh Saxena,2019-Q1,181,5152,1736
Saurabh Saxena,2018-Q4,102,3530,961
Saurabh Saxena,2018-Q3,60,2839,357
Saurabh Saxena,2018-Q2,31,2776,353
Saurabh Saxena,2018-Q1,21,591,83
Feng Liu,2021-Q4,0,0,0
Feng Liu,2021-Q3,0,0,0
Feng Liu,2021-Q2,60,1719,1098
Feng Liu,2021-Q1,81,1462,566
Feng Liu,2020-Q4,152,5848,706
Feng Liu,2020-Q3,67,4767,963
Feng Liu,2020-Q2,167,2414,2149
Feng Liu,2020-Q1,221,7941,3818
Feng Liu,2019-Q4,203,4987,755
Feng Liu,2019-Q3,299,6496,2509
Feng Liu,2019-Q2,43,1350,919
Feng Liu,2019-Q1,25,414,76
Feng Liu,2018-Q4,96,2544,675
Feng Liu,2018-Q3,35,306,77
Feng Liu,2018-Q2,0,0,0
Feng Liu,2018-Q1,0,0,0
Berkin Ilbeyi,2021-Q4,0,0,0
Berkin Ilbeyi,2021-Q3,0,0,0
Berkin Ilbeyi,2021-Q2,24,855,145
Berkin Ilbeyi,2021-Q1,17,744,110
Berkin Ilbeyi,2020-Q4,21,643,194
Berkin Ilbeyi,2020-Q3,112,4690,1280
Berkin Ilbeyi,2020-Q2,72,4090,1108
Berkin Ilbeyi,2020-Q1,75,1604,573
Berkin Ilbeyi,2019-Q4,87,3671,697
Berkin Ilbeyi,2019-Q3,30,1635,438
Berkin Ilbeyi,2019-Q2,0,0,0
Berkin Ilbeyi,2019-Q1,0,0,0
Mingming Liu,2021-Q4,0,0,0
Mingming Liu,2021-Q3,0,0,0
Mingming Liu,2021-Q2,2,25,7
Mingming Liu,2021-Q1,12,395,24
Mingming Liu,2020-Q4,10,272,41
Mingming Liu,2020-Q3,30,429,172
Mingming Liu,2020-Q2,19,918,70
Mingming Liu,2020-Q1,1,0,0
Mingming Liu,2019-Q4,0,0,0
Mingming Liu,2019-Q3,0,0,0
Mingming Liu,2019-Q2,0,0,0
Mingming Liu,2019-Q1,2,37,10
Rajkumar Samuel,2021-Q4,0,0,0
Rajkumar Samuel,2021-Q3,0,0,0
Rajkumar Samuel,2021-Q2,27,564,76
Rajkumar Samuel,2021-Q1,0,0,0
Roman Dzhabarov,2021-Q4,0,0,0
Roman Dzhabarov,2021-Q3,0,0,0
Roman Dzhabarov,2021-Q2,11,67,89
Roman Dzhabarov,2021-Q1,48,688,309
Roman Dzhabarov,2020-Q4,16,396,149
Roman Dzhabarov,2020-Q3,0,0,0
Roman Dzhabarov,2020-Q2,0,0,0
Roman Dzhabarov,2020-Q1,0,0,0
Tatiana Shpeisman,2021-Q4,0,0,0
Tatiana Shpeisman,2021-Q3,0,0,0
Tatiana Shpeisman,2021-Q2,1,20,17
Tatiana Shpeisman,2021-Q1,5,322,0
Tatiana Shpeisman,2019-Q4,1,0,0
Tatiana Shpeisman,2019-Q3,0,0,0
Tatiana Shpeisman,2019-Q2,3,6,4
Tatiana Shpeisman,2019-Q1,17,217,59
Tatiana Shpeisman,2018-Q4,3,14,13
Tatiana Shpeisman,2018-Q3,161,4013,1024
Tatiana Shpeisman,2018-Q2,11,250,15
Tatiana Shpeisman,2018-Q1,12,62,28
Rahul Joshi,2021-Q4,0,0,0
Rahul Joshi,2021-Q3,0,0,0
Rahul Joshi,2021-Q2,113,2188,1282
Rahul Joshi,2021-Q1,363,6668,3236
Rahul Joshi,2020-Q4,302,5778,2800
Rahul Joshi,2020-Q3,296,8908,3674
Rahul Joshi,2020-Q2,120,3218,809
Rahul Joshi,2020-Q1,0,0,0
Dan Moldovan,2021-Q4,0,0,0
Dan Moldovan,2021-Q3,0,0,0
Dan Moldovan,2021-Q2,103,3756,1228
Dan Moldovan,2021-Q1,33,303,199
Dan Moldovan,2020-Q4,61,1137,679
Dan Moldovan,2020-Q3,121,4628,2091
Dan Moldovan,2020-Q2,254,5883,4248
Dan Moldovan,2020-Q1,170,5130,2293
Dan Moldovan,2019-Q4,134,3109,1707
Dan Moldovan,2019-Q3,132,4048,2950
Dan Moldovan,2019-Q2,242,5462,1968
Dan Moldovan,2019-Q1,277,4729,4762
Dan Moldovan,2018-Q4,312,6549,2967
Dan Moldovan,2018-Q3,324,8942,5164
Dan Moldovan,2018-Q2,138,5230,1945
Dan Moldovan,2018-Q1,2,1974,0
Smit Hinsu,2021-Q4,0,0,0
Smit Hinsu,2021-Q3,0,0,0
Smit Hinsu,2021-Q2,47,707,793
Smit Hinsu,2021-Q1,125,1830,470
Smit Hinsu,2020-Q4,217,2963,979
Smit Hinsu,2020-Q3,90,2022,263
Smit Hinsu,2020-Q2,314,4387,2635
Smit Hinsu,2020-Q1,231,5571,4001
Smit Hinsu,2019-Q4,325,5609,2348
Smit Hinsu,2019-Q3,238,4710,2320
Smit Hinsu,2019-Q2,39,202,266
Smit Hinsu,2019-Q1,78,1464,1246
Smit Hinsu,2018-Q4,43,303,330
Smit Hinsu,2018-Q3,32,243,331
Smit Hinsu,2018-Q2,39,734,346
Smit Hinsu,2018-Q1,6,233,30
Benjamin Kramer,2021-Q4,0,0,0
Benjamin Kramer,2021-Q3,0,0,0
Benjamin Kramer,2021-Q2,19,629,194
Benjamin Kramer,2021-Q1,166,2403,1325
Benjamin Kramer,2020-Q4,99,1338,867
Benjamin Kramer,2020-Q3,111,1884,298
Benjamin Kramer,2020-Q2,273,1967,1323
Benjamin Kramer,2020-Q1,194,1179,514
Benjamin Kramer,2019-Q4,61,548,671
Benjamin Kramer,2019-Q3,57,451,176
Benjamin Kramer,2019-Q2,98,1127,1125
Benjamin Kramer,2019-Q1,117,1291,457
Benjamin Kramer,2018-Q4,237,1676,707
Benjamin Kramer,2018-Q3,299,3237,6148
Benjamin Kramer,2018-Q2,100,1378,671
Benjamin Kramer,2018-Q1,25,222,108
Stephan Herhut,2021-Q4,0,0,0
Stephan Herhut,2021-Q3,0,0,0
Stephan Herhut,2021-Q2,10,50,48
Stephan Herhut,2021-Q1,301,1859,2124
Stephan Herhut,2020-Q4,243,3771,5280
Stephan Herhut,2020-Q3,106,1866,521
Stephan Herhut,2020-Q2,48,997,463
Stephan Herhut,2020-Q1,53,943,150
Stephan Herhut,2019-Q4,109,3942,1255
Stephan Herhut,2019-Q3,55,1374,225
Stephan Herhut,2019-Q2,79,2703,687
Stephan Herhut,2019-Q1,0,0,0
Marvin Kim,2021-Q4,0,0,0
Marvin Kim,2021-Q3,0,0,0
Marvin Kim,2021-Q2,10,156,69
Marvin Kim,2021-Q1,4,566,11
Tian Lin,2021-Q4,0,0,0
Tian Lin,2021-Q3,0,0,0
Tian Lin,2021-Q2,7,46,35
Tian Lin,2021-Q1,4,12,2
Tian Lin,2020-Q4,5,7,7
Tian Lin,2020-Q3,4,131,0
Tian Lin,2020-Q2,1,102,24
Tian Lin,2020-Q1,25,3,2061
Tian Lin,2019-Q4,3,7,5
Tian Lin,2019-Q3,2,14,13
Tian Lin,2019-Q2,37,520,96
Tian Lin,2019-Q1,0,0,0
Alex Zinenko,2021-Q4,0,0,0
Alex Zinenko,2021-Q3,0,0,0
Alex Zinenko,2021-Q2,6,356,141
Alex Zinenko,2021-Q1,0,0,0
Alex Zinenko,2020-Q4,11,171,173
Alex Zinenko,2020-Q3,1,4,0
Alex Zinenko,2020-Q2,2,52,49
Alex Zinenko,2020-Q1,0,0,0
Alex Zinenko,2019-Q4,151,2199,2019
Alex Zinenko,2019-Q3,329,5782,2601
Alex Zinenko,2019-Q2,263,11352,6873
Alex Zinenko,2019-Q1,377,14374,5226
Alex Zinenko,2018-Q4,191,10521,1942
Alex Zinenko,2018-Q3,0,0,0
Alex Zinenko,2018-Q2,0,0,0
Alex Zinenko,2018-Q1,0,0,0
Jinliang Wei,2021-Q4,0,0,0
Jinliang Wei,2021-Q3,0,0,0
Jinliang Wei,2021-Q2,13,495,168
Jinliang Wei,2021-Q1,0,0,0
Jinliang Wei,2020-Q4,18,2806,34
Jinliang Wei,2020-Q3,7,77,23
Jinliang Wei,2020-Q2,24,337,37
Jinliang Wei,2020-Q1,3,255,22
Raman Sarokin,2021-Q4,0,0,0
Raman Sarokin,2021-Q3,0,0,0
Raman Sarokin,2021-Q2,66,924,244
Raman Sarokin,2021-Q1,1184,24075,21888
Raman Sarokin,2020-Q4,1691,24338,19952
Raman Sarokin,2020-Q3,881,13855,13661
Raman Sarokin,2020-Q2,406,10188,8264
Raman Sarokin,2020-Q1,342,10559,5387
Thai Nguyen,2021-Q4,0,0,0
Thai Nguyen,2021-Q3,0,0,0
Thai Nguyen,2021-Q2,86,1551,617
Thai Nguyen,2021-Q1,144,5556,873
Thai Nguyen,2020-Q4,111,3285,308
Thai Nguyen,2020-Q3,107,2162,357
Thai Nguyen,2020-Q2,84,1820,514
Thai Nguyen,2020-Q1,110,2443,956
Thai Nguyen,2019-Q4,18,103,82
Thai Nguyen,2019-Q3,8,188,105
Thai Nguyen,2019-Q2,0,0,0
Thai Nguyen,2019-Q1,0,0,0
Terry Heo,2021-Q4,0,0,0
Terry Heo,2021-Q3,0,0,0
Terry Heo,2021-Q2,30,232,213
Terry Heo,2021-Q1,58,987,396
Terry Heo,2020-Q4,51,3929,138
Terry Heo,2020-Q3,107,3052,467
Terry Heo,2020-Q2,56,1897,459
Terry Heo,2020-Q1,101,1621,679
Terry Heo,2019-Q4,9,30,24
Terry Heo,2019-Q3,51,2773,1780
Terry Heo,2019-Q2,0,0,0
Terry Heo,2019-Q1,0,0,0
Marat Dukhan,2021-Q4,0,0,0
Marat Dukhan,2021-Q3,0,0,0
Marat Dukhan,2021-Q2,34,4787,145
Marat Dukhan,2021-Q1,9,191,95
Marat Dukhan,2020-Q4,33,1183,169
Marat Dukhan,2020-Q3,30,1584,69
Marat Dukhan,2020-Q2,172,19421,1635
Marat Dukhan,2020-Q1,44,6021,3288
Mihai Maruseac,2021-Q4,0,0,0
Mihai Maruseac,2021-Q3,0,0,0
Mihai Maruseac,2021-Q2,87,896,545
Mihai Maruseac,2021-Q1,330,3742,7244
Mihai Maruseac,2020-Q4,286,1868,8133
Mihai Maruseac,2020-Q3,398,7582,8155
Mihai Maruseac,2020-Q2,230,2026,5090
Mihai Maruseac,2020-Q1,97,1380,1403
Mihai Maruseac,2019-Q4,241,6619,2576
Mihai Maruseac,2019-Q3,46,327,306
Mihai Maruseac,2019-Q2,131,864,1046
Mihai Maruseac,2019-Q1,32,195,45
Mihai Maruseac,2018-Q4,522,5569,3462
Mihai Maruseac,2018-Q3,5,43,4
Mihai Maruseac,2018-Q2,0,0,0
Mihai Maruseac,2018-Q1,0,0,0
Qiao Zhang,2021-Q4,0,0,0
Qiao Zhang,2021-Q3,0,0,0
Qiao Zhang,2021-Q2,67,3279,479
Qiao Zhang,2021-Q1,29,204,54
Qiao Zhang,2020-Q4,133,3979,2885
Qiao Zhang,2020-Q3,8,24,15
Qiao Zhang,2020-Q2,3,48,84
Qiao Zhang,2020-Q1,0,0,0
Haoliang Zhang,2021-Q4,0,0,0
Haoliang Zhang,2021-Q3,0,0,0
Haoliang Zhang,2021-Q2,51,1612,291
Haoliang Zhang,2021-Q1,40,846,235
Haoliang Zhang,2020-Q4,3,3,2
Haoliang Zhang,2020-Q3,15,13,162
Haoliang Zhang,2020-Q2,6,265,125
Haoliang Zhang,2020-Q1,79,1367,138
Haoliang Zhang,2019-Q4,78,2803,490
Haoliang Zhang,2019-Q3,107,1780,213
Haoliang Zhang,2019-Q2,34,907,247
Haoliang Zhang,2019-Q1,50,1808,177
Jing Pu,2021-Q4,0,0,0
Jing Pu,2021-Q3,0,0,0
Jing Pu,2021-Q2,4,53,16
Jing Pu,2021-Q1,3,146,0
Jing Pu,2020-Q4,6,125,75
Jing Pu,2020-Q3,27,404,166
Jing Pu,2020-Q2,12,198,29
Jing Pu,2020-Q1,8,67,11
Jing Pu,2019-Q4,20,269,61
Jing Pu,2019-Q3,47,798,73
Jing Pu,2019-Q2,1,0,11
Jing Pu,2019-Q1,0,0,0
Allen Lavoie,2021-Q4,0,0,0
Allen Lavoie,2021-Q3,0,0,0
Allen Lavoie,2021-Q2,14,157,20
Allen Lavoie,2021-Q1,147,2820,1413
Allen Lavoie,2020-Q4,119,3198,928
Allen Lavoie,2020-Q3,98,3256,1747
Allen Lavoie,2020-Q2,109,5363,1407
Allen Lavoie,2020-Q1,78,1623,214
Allen Lavoie,2019-Q4,60,2717,1384
Allen Lavoie,2019-Q3,188,7636,1760
Allen Lavoie,2019-Q2,204,3895,1044
Allen Lavoie,2019-Q1,1192,8358,4552
Allen Lavoie,2018-Q4,225,6553,1847
Allen Lavoie,2018-Q3,185,4615,1627
Allen Lavoie,2018-Q2,485,9621,4269
Allen Lavoie,2018-Q1,335,7141,3328
Reed Wanderman-Milne,2021-Q4,0,0,0
Reed Wanderman-Milne,2021-Q3,0,0,0
Reed Wanderman-Milne,2021-Q2,26,311,308
Reed Wanderman-Milne,2021-Q1,60,686,159
Reed Wanderman-Milne,2020-Q4,572,8086,1082
Reed Wanderman-Milne,2020-Q3,104,787,755
Reed Wanderman-Milne,2020-Q2,56,1023,214
Reed Wanderman-Milne,2020-Q1,220,4731,2677
Reed Wanderman-Milne,2019-Q4,105,2958,1145
Reed Wanderman-Milne,2019-Q3,142,3358,1620
Reed Wanderman-Milne,2019-Q2,126,3546,2131
Reed Wanderman-Milne,2019-Q1,140,4606,1186
Reed Wanderman-Milne,2018-Q4,9,206,46
Reed Wanderman-Milne,2018-Q3,36,290,263
Reed Wanderman-Milne,2018-Q2,14,331,348
Reed Wanderman-Milne,2018-Q1,5,24,23
Yang Chen,2021-Q4,0,0,0
Yang Chen,2021-Q3,0,0,0
Yang Chen,2021-Q2,29,521,133
Yang Chen,2021-Q1,0,0,0
Daniel Speckhard,2021-Q4,0,0,0
Daniel Speckhard,2021-Q3,0,0,0
Daniel Speckhard,2021-Q2,2,2,2
Daniel Speckhard,2021-Q1,0,0,0
Prakalp Srivastava,2021-Q4,0,0,0
Prakalp Srivastava,2021-Q3,0,0,0
Prakalp Srivastava,2021-Q2,28,833,336
Prakalp Srivastava,2021-Q1,35,865,137
Prakalp Srivastava,2020-Q4,60,2109,155
Prakalp Srivastava,2020-Q3,25,568,59
Prakalp Srivastava,2020-Q2,70,1455,376
Prakalp Srivastava,2020-Q1,116,2380,306
Prakalp Srivastava,2019-Q4,255,3463,1894
Prakalp Srivastava,2019-Q3,100,2098,388
Prakalp Srivastava,2019-Q2,1,0,0
Prakalp Srivastava,2019-Q1,0,0,0
Michael Delorimier,2021-Q4,0,0,0
Michael Delorimier,2021-Q3,0,0,0
Michael Delorimier,2021-Q2,25,228,182
Michael Delorimier,2021-Q1,48,1412,70
Michael Delorimier,2020-Q4,14,495,116
Michael Delorimier,2020-Q3,0,0,0
Michael Delorimier,2020-Q2,0,0,0
Michael Delorimier,2020-Q1,0,0,0
Adrian Kuegel,2021-Q4,0,0,0
Adrian Kuegel,2021-Q3,0,0,0
Adrian Kuegel,2021-Q2,79,1495,585
Adrian Kuegel,2021-Q1,402,3997,2519
Adrian Kuegel,2020-Q4,173,3467,2212
Adrian Kuegel,2020-Q3,175,2185,1236
Adrian Kuegel,2020-Q2,157,3732,2094
Adrian Kuegel,2020-Q1,226,4104,2246
Adrian Kuegel,2019-Q4,390,4204,4476
Adrian Kuegel,2019-Q3,102,1039,794
Adrian Kuegel,2019-Q2,56,763,965
Adrian Kuegel,2019-Q1,259,4097,3229
Adrian Kuegel,2018-Q4,98,2777,1377
Adrian Kuegel,2018-Q3,176,3461,1105
Adrian Kuegel,2018-Q2,34,418,669
Adrian Kuegel,2018-Q1,0,0,0
Eugene Zhulenev,2021-Q4,0,0,0
Eugene Zhulenev,2021-Q3,0,0,0
Eugene Zhulenev,2021-Q2,11,1058,30
Eugene Zhulenev,2021-Q1,29,671,374
Eugene Zhulenev,2020-Q4,14,296,262
Eugene Zhulenev,2020-Q3,81,1884,406
Eugene Zhulenev,2020-Q2,21,189,60
Eugene Zhulenev,2020-Q1,155,4405,697
Eugene Zhulenev,2019-Q4,51,875,414
Eugene Zhulenev,2019-Q3,140,2614,1219
Eugene Zhulenev,2019-Q2,224,11131,5990
Eugene Zhulenev,2019-Q1,307,9139,5801
Eugene Zhulenev,2018-Q4,309,12536,4248
Eugene Zhulenev,2018-Q3,44,4885,1380
Eugene Zhulenev,2018-Q2,24,2066,361
Eugene Zhulenev,2018-Q1,0,0,0
Amit Patankar,2021-Q4,0,0,0
Amit Patankar,2021-Q3,0,0,0
Amit Patankar,2021-Q2,63,578,147
Amit Patankar,2021-Q1,106,923,1490
Amit Patankar,2020-Q4,130,1576,1367
Amit Patankar,2020-Q3,285,876,2760
Amit Patankar,2020-Q2,57,656,606
Amit Patankar,2020-Q1,167,3526,3942
Amit Patankar,2019-Q4,250,3785,3243
Amit Patankar,2019-Q3,119,3381,606
Amit Patankar,2019-Q2,117,8057,338
Amit Patankar,2019-Q1,36,136,3910
Amit Patankar,2018-Q4,117,498,3611
Amit Patankar,2018-Q3,81,313,228
Amit Patankar,2018-Q2,75,233,127
Amit Patankar,2018-Q1,144,775,391
Hyeonjong Ryu,2021-Q4,0,0,0
Hyeonjong Ryu,2021-Q3,0,0,0
Hyeonjong Ryu,2021-Q2,1,2,3
Hyeonjong Ryu,2021-Q1,31,514,59
Hyeonjong Ryu,2020-Q4,24,135,315
Hyeonjong Ryu,2020-Q3,2,10,9
Hyeonjong Ryu,2020-Q2,47,802,284
Hyeonjong Ryu,2020-Q1,8,144,4
Jaesung Chung,2021-Q4,0,0,0
Jaesung Chung,2021-Q3,0,0,0
Jaesung Chung,2021-Q2,53,740,176
Jaesung Chung,2021-Q1,219,6011,2339
Jaesung Chung,2020-Q4,359,7026,942
Jaesung Chung,2020-Q3,185,3701,2350
Jaesung Chung,2020-Q2,274,6485,2062
Jaesung Chung,2020-Q1,69,1377,354
Jaesung Chung,2019-Q4,117,5357,686
Jaesung Chung,2019-Q3,45,3607,617
Jaesung Chung,2019-Q2,0,0,0
Jaesung Chung,2019-Q1,0,0,0
Shlomi Regev,2021-Q4,0,0,0
Shlomi Regev,2021-Q3,0,0,0
Shlomi Regev,2021-Q2,1,4,0
Shlomi Regev,2021-Q1,46,313,64
Shlomi Regev,2020-Q4,2,0,0
Shlomi Regev,2020-Q3,5,107,33
Shlomi Regev,2020-Q2,0,0,0
Shlomi Regev,2020-Q1,0,0,0
Renjie Liu,2021-Q4,0,0,0
Renjie Liu,2021-Q3,0,0,0
Renjie Liu,2021-Q2,52,258,3540
Renjie Liu,2021-Q1,37,753,285
Renjie Liu,2020-Q4,61,1136,1396
Renjie Liu,2020-Q3,37,1301,119
